rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[0.59  0.177 0.177],1106,695,208,203,1,1,0,0,3,3,3,0.0027124773960217,0.0027124773960217,0
[2.24  0.672 0.672],4252,2609,791,852,5,2,2,1,14,11,13,0.002587017873941675,0.003057384760112888,0
[4.  1.2 1.2],7631,4703,1464,1464,8,5,1,2,22,18,21,0.0023587996330756127,0.002751932905254881,0
[6.79 2.03 2.03],13066,8180,2416,2470,12,8,2,2,34,33,35,0.0025256390632175107,0.0026787080973519053,1
[7.11 2.13 2.13],13996,8685,2667,2644,12,8,1,3,33,33,34,0.00235781651900543,0.002429265504429837,3
[8.09 2.42 2.42],15718,9861,2884,2973,14,10,1,3,39,33,37,0.002099503753658226,0.0023539890571319506,2
[8.92 2.67 2.67],17251,10724,3245,3282,15,11,1,3,42,36,42,0.0020868355457654628,0.002434641470059707,2
[0.59  0.177 0.177],1106,681,213,212,3,1,1,1,8,6,6,0.0054249547920434,0.0054249547920434,0
[2.24  0.672 0.672],4270,2673,840,757,5,3,1,1,14,12,12,0.002810304449648712,0.002810304449648712,0
[4.  1.2 1.2],7555,4727,1414,1414,7,4,1,2,19,16,19,0.0021178027796161483,0.0025148908007941763,2
[6.79 2.03 2.03],13087,8162,2503,2422,11,8,1,2,31,27,31,0.002063116069381829,0.0023687628944754338,2
[7.11 2.13 2.13],13652,8444,2531,2677,13,9,1,3,36,31,36,0.002270729563433929,0.002636976267213595,2
[8.09 2.42 2.42],15565,9754,2946,2865,13,9,1,3,36,32,36,0.0020558946353999357,0.0023128814648249283,2
[8.92 2.67 2.67],17056,10689,3174,3193,16,11,2,3,45,38,44,0.002227954971857411,0.0025797373358348967,2
[0.59  0.177 0.177],1175,728,218,229,0,0,0,0,0,0,0,0.0,0.0,0
[2.24  0.672 0.672],4396,2741,866,789,4,2,1,1,11,10,11,0.002274795268425841,0.0025022747952684263,2
[4.  1.2 1.2],7574,4756,1360,1458,8,5,1,2,22,18,22,0.0023765513599155004,0.002904673884341167,0
[6.79 2.03 2.03],12995,8108,2447,2440,11,8,1,2,31,26,30,0.0020007695267410548,0.002308580223162755,0
[7.11 2.13 2.13],13751,8520,2607,2624,13,9,1,3,36,31,36,0.0022543814995273073,0.002617991418805905,2
