rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
5.5,164,341,225,1080,0.6598240469208211,4.8,1
6.0,161,315,165,778,0.5238095238095238,4.715151515151514,3
0.5,13,34,16,55,0.4705882352941176,3.4375,2
1.0,31,59,28,112,0.4745762711864407,4.0,2
1.5,50,110,60,272,0.5454545454545454,4.533333333333333,2
2.0,66,139,71,326,0.5107913669064749,4.591549295774648,2
2.5,91,195,89,410,0.4564102564102564,4.606741573033708,3
3.0,106,227,103,474,0.4537444933920705,4.601941747572815,3
3.5,91,187,72,325,0.3850267379679144,4.513888888888889,3
4.0,128,253,132,621,0.5217391304347826,4.704545454545454,1
4.5,134,264,113,521,0.42803030303030304,4.610619469026549,3
5.0,149,305,146,680,0.4786885245901639,4.6575342465753415,3
5.5,199,411,254,1218,0.6180048661800487,4.7952755905511815,3
6.0,175,368,179,844,0.4864130434782609,4.715083798882682,3
0.5,18,43,23,87,0.5348837209302325,3.782608695652174,2
1.0,29,58,34,144,0.5862068965517241,4.235294117647058,2
1.5,48,106,59,263,0.5566037735849056,4.457627118644068,2
2.0,70,142,85,392,0.5985915492957746,4.6117647058823525,2
2.5,92,202,105,488,0.5198019801980198,4.647619047619048,3
3.0,81,174,97,453,0.5574712643678161,4.6701030927835046,3
3.5,92,194,92,418,0.4742268041237113,4.543478260869565,3
4.0,113,229,78,350,0.3406113537117904,4.487179487179487,3
4.5,138,286,155,726,0.5419580419580421,4.683870967741934,3
5.0,135,285,181,865,0.6350877192982456,4.779005524861878,3
5.5,162,308,158,746,0.512987012987013,4.7215189873417724,3
6.0,190,383,220,1054,0.5744125326370757,4.790909090909091,3
0.5,12,23,11,30,0.4782608695652174,2.727272727272727,2
1.0,27,61,27,105,0.4426229508196721,3.888888888888889,2
1.5,46,87,54,246,0.6206896551724138,4.5555555555555545,2
2.0,65,137,53,230,0.3868613138686132,4.339622641509433,3
2.5,80,144,61,272,0.4236111111111111,4.4590163934426235,3
3.0,83,168,50,214,0.2976190476190476,4.28,3
3.5,123,247,141,663,0.5708502024291497,4.702127659574468,3
4.0,122,243,117,546,0.4814814814814815,4.666666666666667,3
4.5,144,279,125,579,0.4480286738351255,4.632,3
5.0,180,381,203,957,0.5328083989501312,4.714285714285714,3
5.5,162,321,184,872,0.573208722741433,4.739130434782608,3
6.0,197,422,232,1110,0.5497630331753555,4.7844827586206895,3
0.5,15,34,11,35,0.3235294117647059,3.1818181818181817,0
1.0,19,38,11,29,0.2894736842105263,2.636363636363636,2
1.5,44,96,48,214,0.5,4.458333333333333,0
2.0,53,112,46,198,0.4107142857142857,4.304347826086956,2
2.5,75,158,77,354,0.4873417721518987,4.5974025974025965,3
3.0,97,203,93,425,0.458128078817734,4.56989247311828,3
3.5,107,211,103,477,0.4881516587677725,4.631067961165049,3
4.0,118,241,141,666,0.5850622406639004,4.723404255319148,3
4.5,135,271,153,719,0.5645756457564576,4.6993464052287575,3
5.0,149,283,152,717,0.5371024734982333,4.717105263157895,3
5.5,159,303,170,807,0.5610561056105611,4.747058823529412,3
6.0,193,371,190,901,0.5121293800539084,4.742105263157895,3
0.5,19,40,19,74,0.475,3.8947368421052633,0
1.0,18,35,15,47,0.42857142857142855,3.1333333333333333,2
1.5,37,69,34,143,0.4927536231884058,4.205882352941177,2
2.0,60,130,47,201,0.3615384615384615,4.276595744680851,2
2.5,78,161,59,261,0.36645962732919257,4.423728813559323,3
3.0,104,208,96,445,0.4615384615384616,4.635416666666667,3
3.5,104,205,93,426,0.4536585365853658,4.580645161290323,3
4.0,115,231,130,613,0.5627705627705628,4.715384615384616,3
4.5,150,300,161,760,0.5366666666666666,4.720496894409939,3
5.0,150,300,140,652,0.4666666666666667,4.6571428571428575,3
5.5,140,290,128,593,0.4413793103448276,4.6328125,3
6.0,181,345,176,824,0.5101449275362319,4.681818181818182,3
0.5,8,12,7,9,0.5833333333333334,1.2857142857142858,2
1.0,26,47,31,129,0.6595744680851063,4.161290322580645,2
1.5,52,104,34,140,0.3269230769230769,4.117647058823529,2
2.0,71,142,72,320,0.5070422535211268,4.4444444444444455,3
2.5,74,150,66,298,0.44,4.5151515151515165,2
